class,feature_2,feature_3,feature_4,feature_5,feature_7,feature_9,feature_11,feature_12,feature_13,feature_14,feature_16,feature_17,feature_18,feature_19,feature_20,feature_22,"feature_8,feature_15","feature_21,feature_10","feature_1,feature_6"
p,M,a,V,&l,*h,a,#Q, u ,e,m,&t,i,e,u  ,@e,U*,"c,i*","u,w","b,e*"
e,,#a,,l,h,a,e,t,E@,k,t,& j ,D,,h,u,"@o,j","M,U*","d,o"
p, C ,,*v,#l,@f,#?,e,a,#e,k#,t@,i*,e,t,*j,u,,"t,c  ","@T,E"
e,a,&a  ,v,o#, v ,?,*e,c@,e,t,@T,j,,#t,j@,,"&c,j","C,C*","t,o"
p,@d,d,v,l,f,&?,e,@A,e*,#w,t,*i,j,u,&h,u,"o,i","u,c@","&t,e"
e,m,a,v*,l,F,a,e,n,e,@k,t@,j,,*u,e@,u@,"@o,j","*m,u","i,o"
e,t*,a,v*,L,D,#v,a,,e,m&,,#j,*p,,h,*u,"#c,j","T,U@","i,o"
p,&M,a,,l,@F,&a,q*,U,*e,m@,,j,e,*t,j*,u,"@o,e","t,u","b,o#"
e,t,a#,,,J,c,E,u,e&,M@,T,e&,*d,*t,* j ,,"O,E","@t,c","D,E"
e,c,a,V,l,h#,#a,q,T,e#,#k,t,j,d,t,e,@u,"@o,j","t,u","d,o"
p,C@,d,V,L&,f,?#,#i,a,e#,u, t #,&j,h,t#,&J,#u,"o,i&","t,c","t,e"
e,m@,,@v,#l,f,A,e,d,E,,t*,J,d,@u,h,u,"*O,J","T,U","d,o*"
p,h#, a @,*v,l, h ,a,e*,b,e@,u@,t@,i,e,u,h,U,"c,i","d,w*","*b,e"
e,*d,a,*v,l,j&,z&,*E,U,*e,m,@t,H,,,h,u&,"#c,j","t,u#"," i,o "
e,m*,a,v,L,h,*A,E,u,e@, k ,T,*j,D,*u,e*,u,"O,J","u,u*","i,o@"
e,M,a&,t,l,j,@c,e,i,@e,m&,#t,&e,@d, t &,@e,@u,"*o,e","T,C","#i,e"
e,d,a,v@,l,v&,?  ,e,l,p*,W,*d,j&,*d,l,J@,@u,"c,j&","l,u","a,e"
p,@m,a,v,l,H,a@,*q,b,#e,#U,#T,i, e #,a,e,u  ,"#C,I","d,w*","b,e&"
e,&m,a,v,l, h ,,@q,d&,e,#k,,j,&D,u@,*e,u,"o,j","*m,u","d,o*"
p,@h,a*,v#,l,h*, a @,e  ,*m,&e,U#,t,i&,E@,u, H ,&u,"c,i*","a,w*","&b,e"
p,d,D,v,l@,F#,?,i&,a@,e,w,t#,i,e@,t*,#j,u,"o,j","t,c","t,e"
e,&d,@a,T,l,p@,,@q,b*,e#,@m,t,@j,d#,t&,e,u#,"o,j*","t,c&","d,e"
e,*d  ,a,v,l,f,&?,&q,h,P@,w*,d  *,@j,,l,j&,,,"#l,u","@d,e"
p,C,*d,&v,@l,F,&?,,,e,# K ,t,j,e#,#t,j,*u,,"T,C","t,e*"
p,m,a,V,l&,h,,@E,u,e,u,t,#i,e&,&u,#H,u,"c,i@","d,w","b,e"
e,d,a#,v,*L,f,a#,&q,,,k,t@,#j,d@,m,h,u*,"o,j&",,"d,o  "
p,D,d&,v&,@l,f,&?,#i,A#,&e,@w,t,i,h#,T#,h,u,,,
e, t #,a#,t,@o,,?,,&t,e,M,,i#,d*,T@,e&,U,"c,j","t,u&","t,e&"
e,&m,a&,,l,j,c*,,d,E#,*m,T,j,d&,,j#,u,"O,E","t,c&","d,e@"
p,m,&a,V#,,,a,q,B,,m#,,e@,@e,,j&,,"o,j*",,"b,o"
p,C,d,#v,l,,,i,a, E #,,t,,@j,,H,u#,"o,i","t,c","t,e"
p,t*,,,*l,&f,c@,&e,,#e,*n,t@,j,u, t ,h,u,"*c,j","T,U","*d,o"
e,d@,a,v,l,f@,@a,,u,e,K,& t ,J,,t,e#,u,"*o,j","m,u*","i,o"
e,t#,&A,v,L,j&,v#,A@,i,&E,m#,t,j,,,#j,u,"c,j","t,u@",
p,,d,,,F,?,i,@A,*e,k,@t,i,,t,h,U*,,"u,c  ","t,e"
p,h#,a,v,l,h,a,e#,m*,e*,k,t,i,@e,d*,@h,u  ,"@c,i","u,w@","b,e@"
p,d,d,@v,l,F*,?,i*,,e,u,t,&j,h,&u,#j,u,"#o,i","t,c@","t,e"
e,*c,@ a ,,*l,F@,a,#q,n@,e*,k@,*t,#j, d &,M,E@,#u,"o,j","t,u","*i,o"
p,m&,, v ,@l,h,a,e,m,e,k*,t#,i,#e,a,#h,,"c,i@","#d,w",
p,d#,d,v,l,*f,&?,&q,@a,e*,w*,t, i #,*j,t#,h#,u,,"T,C","t,e&"
p,h#,#D,v,*l,f@,?,,t  ,E&,k,,H,#d,t,h,*u,"c,i","d,c","&t,e"
e,*M,a&,t,,&d,*?,i,m,&E,m,t,j,d,t,,U,"c,j","t,u","t,e#"
p,#m,A,v,@l,#h,a*,,m,*E  ,u@,t@,@i,,d,h,&u,"c,i","u,w","b,e"
e,m,#a,@v,l,h,a*,q&,u,,,*t,j@,D,,*e,u#,"o,j@","U,U","I,O  "
p,d,d,V&,l,*f,?#,e,&a,e#,K,T*,#j,*H,,*H,u,"o,j&","t,c",
p,t,d,v,l#,@j,@c,e,i,e,,t,#j,,t*,j,u@,"*C,J","t,u","*i,o"
p,v@, A ,v#,*D,v*,v,Q,h*,p,k  ,T,@h,&Y,#v,h&,@u,"c,i#","v,d","T,E"
p,D,*d,@v,l#,f,?#,,&a,e,w*,,@j,E@,,h,U,"o,i#",,"&t,e"
e,@t,a,v&,l,j,@v,,*M  ,e,y,t,j,w,T,j,u&,"c,j","#t,u","d,o"
e,c,a,v@,,,@a, e *,t*,,k*,#T,,D,#u,h,u,"o,j"," m,u ",
p,h,,v,&l,h@,a@,#q,u#,e,u,t,@i,e,u@,e,@u,"c,i","A,W*",
e,,,v,@l,,a&,*e,t&,e,k#,t,j#,*d,*u,,U*,"o,j","m,u","d,o#"
p,,@A,v,l&,F,a@,@E,&u  ,e,N&,t,j,e,t,j,u,"o,j","t,u","@b,o"
p,c,d,v,,f,?,e*,a,E@,,T#,j,h,t,h,U,"*o,j","u,c*","t,e"
p,c&,*d,v,l,F,?,Q*,,e,w,T,I,e,#u,h&,@u  ,"&o,j","u,c","t,e"
e,&c,A,&V,&o,&v,?,&q,,#e,,t,j*,*d,,*H,u@,"c,j*","t,c",
e,d,&a,V,l,f*,?*,A,d,P,w&,d,j*,#d,l,*j,u,"&c,j","L,U#","d,e"
e,T@,A#,*t,#o,d, ? ,a&,t#,E,M,t,@i,#d,t,e,&U,"c,j&",,"#t,e"
p,m#,@a,#v,l,h,,e&,b,*e,k,,*I,* e ,a,@e,u*,"C,I",,"b,e"
p,,@d,V,l,f,&?,q#,a,@E,@w,*t,j,j,,H,u&,"@o,i","t,c","t,e"
p,c,d,V&,,f&,?&,q*,&a,e,,t@,j,j*,t,,U,"*o,j","#t,c","t,e@"
p,d,d,V#,L*,@f,#?,,@a,e#,u@,t*,i,e,t,j,u&,"o,i","u,c#","@t,e"
p,c&,a*,v*,d&,v,v,i, h ,e,k*,#t,h#,Y,v#,h,u,"@c,i","#v,d","t,e"
p,*c,d,&v,l*,*f,?*,e@,@a,@E,w,t,i,J&,t  ,j,u,"&o,i",,"&t,e"
p,*m,a,v#,# l ,&h  ,a&,e,u,e*,u,t,i,*e,a,e&,u,"&c,i","a,w","&b,e"
e,#t,d,v,l  ,,?@,*q,N,e@,*K,,e,d@,t,@h,u#,"@C,J","T,E","b,e"
e, d ,a,@v,L,,a,&q,u@,e,k#,T,J#,d,,E@,u,"o,j","m,u","d,o*"
e,@H,@a,v,l,,Z*,@e,,e,m#,T&,@h,@p,t,&H,u,"c,j","T,U  ","D,O"
p,d,D,,,@f,?,e,*a,e@,&u,T,i,e,&U,j,U@,"o,j","u,c","#T,E"
p,c,d#,,&l,f,?@,i,a&,e&, u ,*t,j,*j,,j@,u&,"*o,i","U,C","t,e#"
p,a,*a,v&,o,f&,&A,a,m,e,y*,t,j,d,&t,h,u,"&c,j","T,U","Z,O"
e,m,@a,v,l,h,,#E,d,e,k,T, j &,d  ,&U,h,u,,"t,u","i,o#"
p,&C,d,v,l&,#f,?&,,a*,e*,*k,t#,&j  ,j#,u@,h,u@,"O,J","u,c","t,e&"
e,h,#a,v&,l*,,*v,*a,@t,,& m ,t,,w&,,*h,@u,"c,j#","t,u&","i,o"
p,h,a,,l,f,&a,e,b,*e,*u,t, i ,e&,#d,e#,#u,"c,i#","@a,w","b,e"
e,v,d@,t&,l#,F#,a,#q, t *,*e,w,*t,j&,d,t&,e  ,u@,"c,j","d,c","*t,e"
e,d&,@a,v,l,f,a,e#,,e  ,,t  ,&j,d,u,e,u#,"O,J","*m,u","d,o"
p,C,d*,@v,l,*f,#?,i*,a,e,w,,J,H,u,j@,u,"O,J",,"t,e@"
e,&t,a  ,v,l,D@,v&,a@,d  ,e,*y  ,*t,j,p,&t,H,&u,"C,J*",,"i,o"
p, d &,D*,v@,l,j,c#,q,t#,e,,t,j,u&,T,j,u,"c,j*",,"i,o"
p, m ,a,v,l,f*,a,e@,m,e,k,t@,,@E,,e#,u#,"#c,i","@d,w","b,e*"
e,,@a,v,l,#f,?,,&h,*p,W,l,j#,d&,,j,u*,"*c,j","l,u*","*H,E"
e,m&,a,@t,,p@,&c,,,e*,m&,&t,e, d #,t,e,u*,"o,e  ","t,c","#d,e"
p,#d,d,&v,l, f ,*?,e,&a,&e,w@,t,#j,j,*u,h,u,"o,i@","#u,c","t,e"
e,m,A,T,#o,J,@?,i#,m,E,m*,t#,,D@,,&E,u*,"c,j@","T,U",
e,#d,a,v@,l,f,A@,e,d*,e&,*k,t,@j,D,u,E,u@,"o,j","u,u*","d,o"
p,a#,a,v,l*,f,a,e*,&u,e,m,,j,e,,j*, u ,"o,j@",,"b,o"
e,D,a@,,l,H@,A  @,e,U,E,k,t,@J,d#,#m,e,u,"o,j","u,u","i,o*"
p,@h,@a,v,,@f,,e@,&b,e,m,t&,i@,,d, h ,&u,"@ c,i ","u,w&","@b,e"
p,#d,d,v,l,j&,c,e,u,*e,m,T,j&,#u, t ,h,U,"C,J","t,u#","i,o*"
e,C,a,v,l, h ,a,#q,@n,E&,,t,@j,#D,m,@e,,"o,j","m,u","*i,o"
e,#m,a,T,l,p&,@c,e@,@i,e,,t,*J,&d,t,,u,,"t,c","d,e#"
p,d,d,v,l,f,?,#q,a,,,&t,&J,e,@u,@j,&U,"o,i","@t,c","t,e*"
p,*C,d#,v,l,F,?,e,a*,e#,#k,t,@I,h*,@t,h,u&,"o,j","#U,C",
e,d,a*,v,o,v,?  *,&i,t#,e@,,*t,j&,d,t@,#j,,"c,j","C,C",
p,h,A,v,@l  ,#F,A,e*,m,e,k#,t,i&,e,&d,e,u,"c,i&","a,w","b,e"
p,M,A&,v,@l,,a,,b#,e#,u,T,i@,@E,d,h,U,"c,i","d,w#","@B,E"
p,m@,a,,&l,h,a*,Q#,U@,e*,u,*t,,e,d,e,,"c,i@","a,w","#b,e"
e,,a*,t,,p,c@,q@,b#,e  ,m,t,E&,d&,t,j,u,"o,e","t,c","d,e"
e,*c,a,v&,@l,h,@a,@Q,u#,e,k,t,,D,t,h,@u,"o,j","m,u*","@d,o"
p,@C,d&,@v,l,f,@?  ,e*,a,e,w@,t,,h,u,H,U@,"o,j","t,c@","T,E"
e,,*a,v,l,H,*a,q,,e,k@,t@,j@,d*,# u , h ,u*,"o,j",,"d,o&"
p,t,#d,&v,l  ,f,a,, d ,E,*k,t,j,v,t,j,U  @,"c,j","t,u#","&i,e"
p,,,v&,l#,f,*?,@e,&a,e,,T,@j,h,U#,#j,*u,"o,j","t,c","*t,e"
p,c,D,v&,#l,f,?,I&,a,e&,w,t#,*i,*e,U,&J,u@,"o,j*",,"*t,e"
e,&t,a,#t,l,p#,@c,e,&u,e,&M,t&,#e,D,t,e,U,"o,j#","*t,c","*d,e"
p,t,,t,l,j*,a,q&,u,*e,k,,j,v@,,,,"c,j","@t,u","d,e"
p,&m,a,&v,,,A,e,&m,E,m,t&,I,e#,a@,@e  ,u,"c,i"," u,w @","B,E"
e,u@,a,v,o,v,?,i&,@C,e,#t,t,#j,,c,h,u,,"c,c","t,o"
p,h,a,*v,L,f,&A,*e,b,e,,t*,i,#E,d,h,u@,"c,i","u,w","&b,e"
e,#d,a,t,&l,*j,,q, u ,#e,m@,#t,e, d ,t,j,,"&o,j","t,c","d,e#"
p,&c, D ,v&,&l,,?,q,#a,e,&u,@t,@j,,@t,#h,u,"@o,j","*u,c","t,e"
e,d, a ,v,l,&F,,q,,&e,K,t,j#,d,u,h,u," o,j ","m,u","i,o"
p,d,d&,,l*,f#,*?,i#,a,e@,U,t,,*E,#u,@j, u ,"o,j","t,c","t,e"
e,,,t@,L,&p,c,e,@d,E,M,t*,E,,,j@,*u,"o,j","T,C#","d,e"
p,m,,v  ,,*f,a&,&q,B,e&,U,t&,i,e&,d,H,,"C,I","D,W","b,e"
p,M,A&,,l,h,A,q,b,,U@,t, i @,e#,@u,#e,U@,"c,i*","u,w","b,e"
p,h@,@a,V,l&,& h ,a&,*q,m,e&,@u,T,i@,E#,u&,*h,u*,"c,i","&A,W","b,e"
e,,a,v,l@,#d,v,&A,i,e,@y,t,j#,,T,#j,u,"*c,j","t,u&","&i,o"
e,m,A#,,,,*C,e,u,e,m@,t,e@,,T,j,u*,"o,e","t,c","i,e&"
e,,a,@ v ,l,f  &,?,q,d  ,p,w*,l,&j,d,l@,j,,"#c,j","l,u","h,e"
p,m,,@v,&l,j,a,e,t@,#e,N,t*,e,#e,T@,j@,@U,"@o,j","*t,u","b,o"
e,T,A*, t *,l,P,,q,,&e,m,t,j, d ,t,#j,u&,"O,E","&t,c"," d,e "
p,*h,A,v,&l,&f,a,*Q,u,#e,m,t*,i,E  @,#d,e,&u,"#c,i","&a,w","b,e"
e,h&,a@,v,l,j,z,e,*T,e,m,*t,h,w,,h,U,"*c,j","t,u","#i,o"
p,d  ,D,,#l,#f,?@,i,a,&e,,t,J,h,u,@j,u@,"o,i@","U,C","&t,e"
p,,d,v,L,F, ? ,@q,a,e#,@k,*t,&j,h,t@,h@,@u,"@o,j","u,c","t,e"
e,m,d,v,,h#,@c  ,*e,*D,e,n,t, j ,d,t*,e*,u,"C,J","T,U","i,e*"
e,m,#a,t, o ,d@,&?,@q,m#,E,m,t,,,@t,&j,@u,"*c,i","t,u","t,e"
p,c,d,v,,f@,?,@q,A*,&e,u,t&,,*H,u,h,U,"o,i","t,c*"," t,e @"
e,M@,a,&v,l  &,f@,*a,&q,t,e*,#k,t&,j@,D,m,h,u,"o,j","m,u&",
p,H,a,V,l#,&f,a,q*,&m,e#,m,T,i,e,a,e,u  ,"c,i","d,w","b,e#"
e,c&,a#,&v,l#, h ,a,Q#,@t  ,e,k,#t,j@,@d,U,,u&,"O,J","t,u*","i,o@"
p,h,A,#v,l,&F,a@,,,*e,k,&t,i,,*a,e,u#,,"a,w","B,E"
e,h,a*,v*,&l,*j,v@,a,D,e,m@,t&,,*p,t#,j,,"c,j","t,u&",
p,c#,d,v*,l,f*,?#,#i,a,#E,u@,t  ,i&,e,,,@u,"o,i","t,c","t,e"
e,h,@ a ,v#,L*,j&,v,q,t,e#,&y,#t,&j,P&,t,j,@u,"c,j","t,u",
p,,a,v,l,j,a  ,@e,,e&,m,@t,,e@,t,j&,u&,,"@t,u","& b,o "
e,#c,A*,v,l*,#h,a#,Q,*d,e,,*t,J,d&,#m,e,#u,"o,j&","#u,u","d,o"
p,*t,d,t,l@,*j,a,q,&M,E,#k,T,#j,v,T,*e  ,u,"@c,j",,"d,e#"
p,,, v ,l@,f,,#e,,@e,u,t&,i,e,u,e*,u*,"@c,i","u,w*","&B,E"
e,m,&a,T,l#,#j,,q,&u,,,t*,@E,d  ,t#,j&,U,"&o,e","t,c","d,e"
p,T*,d,v*,@L,j,,&e,I*,E,,t,,U,*t,H,U,"c,j","T,U  ",
e,,a,*v,@l,j,,a*,t,e,m,*t,@j,p&,t&,,u,"c,j","t,u","&d,o"
e,m@,*a,v*,L&,h,,e,T,e#,K,#t,J,,&u,* e ,u,"&o,j","t,u",
p,d,d#,v,L,f, C ,#q,,@e,@n,#t,j,U,*t,j*,U*,"c,j*"," t,u ","i,o"
e,c,@A,*v,l,&f,a,e,n#,e,k, t ,j,d,&t,h,#u,"o,j&",,"@i,o"
p,c,d,v,L,&f,?#,i,a,&e,K,t#,,h,u,h,u,"o,j*","t,c","t,e#"
e,m#,*A,,l,h@,,q,n#,E@,k@,t,j,,#u,E,*u,,"u,u&","i,o"
p,m,a,#v,,h,*a,#q,@b,e,#m,t  ,i,&e,d,h&,U*,,"d,w&","b,e"
p,,d,,l,F*,?,#q,a*,e,k,&t,j,h,@u,&h,u,"O,I","t,c","t,e"
e,c,@a,V*,@l,&f,,q,u,e&,k,t,,d#,t,,u&,"O,J",,"i,o"
p,c,d,V,@l,f,,q,a, e ,u@, t #,*i,j,&U,j,u,"&o,i","T,C","#T,E"
e,t,A,t,o,*j,&?,i@,*t,E,m,t,i#,&D,T*,j*,U,"c,j","t,u  ","T,E"
p,@D,d,@ v ,l&,f,?,q, a ,e@,w*,,,j,t@,h,&U,"o,i","u,c#","t,e@"
e,m  ,a,&V,,,a, q ,t,*E,,T, J ,d#,*T,e,u@,"o,j","u,u","d,o@"
e,@h,*a,v,L*, H ,z,e,U,e@,u,t*,H,p,t,#h,u,"c,j","t,u","i,o"
e,&m,a@,,&l,,a,,t,@e,k&,t, j ,d@,#t,e,#u,"o,j&","t,u","*d,o"
e,h,a&,v,&l,J&,v*,a&,,e,m,t,j,w,t@, j ,*u,"C,J#","T,U","i,o@"
e,d,a,,&l,v,?,I,d&,p,@w,d,j@,d,l,j,u#,"c,j","l,u","@A,E"
e,#d,a,&v,l,h,*A,E,U,@e,&k,,j,D  ,#t,h,*u,"o,j@","M,U","#i,o"
p,&d,D,v  ,l#,f,#?,@q,a,e,w,t,&i,,*t,@H,@u,"o,i  ","*t,c","T,E@"
e,C#,a@,v,,v,@?,#E,@t,,t,t,J@,@d,T,@h,u,"c,j","c,c&","@T,O"
p,@m,d,V@,L@,F,a,@q,,#e,k*,,@j,*v,@t,e,u,"c,j","t,u",
e,t,a@,@t,,j@,?,@Q,t,e,m,T,*j,d,T,j&,u#,"c,i","t,u","&t,e"
p,t&,a, v @,l,f,a,e  ,u,e,&n,t@,e,e,T,&j,,"O,J","t,u&","b,o"
e,h,a,v,l,,v,&a,d*,@e  ,&m,t*,j,P*,t@,j,u#,"c,j","t,u&","i,o"
p,*h,a,V,l,h,a,e,b,e,u#,,i,e,U#,H,@u,"c,i","u,w","B,E"
e,m,a,*v,l@,F,&A,,t,e*,k*,&t,j,D*,,h,u,"o,j","@t,u","d,o"
e,,a,v, L ,f,& A ,E&,*n,e,k@,*t,J,d,u,,u,"O,J",,"D,O"
p,m,*a,v,*l,&j,a,e&,t#,e,n,#t,j@,e&,t,j,u*,"o,e","t,u","*b,o"
p,m&,@A,v, L ,F,A@,@e,&b,e@,m#,t,i,e,#d,h*,U,"c,i","d,w","&b,e"
p,d,,v,l,f#,?*,q,A,e*,k,,i,#e,u,h,@u,"*o,j",,"#t,e"
e,d,,*v,, h ,z,,T@,e,@m,t#,h,#p,t,h@,u,"C,J",,"#d,o"
p,c,d,*v,*l,f,&?,q&,A,e,*u,,&j,,,j,u,"*o,j","u,c#","t,e"
p,,d#,v,l,f*,&?,@i,A@,,@U,* t ,j,*e,t,h#,*u,"o,j","t,c&",
e,M*,a,t,&l,&j,,e,@d,e,,T&,e,@d,t,j,u,"o,e","&t,c","d,e"
p,*c,d,v@,l,F,&?,,#a,e,k#,t,#j,e,u&,*h,u,"o,j","t,c","*t,e"
p,&d,d#,v@,l,f,?@,q@,,e@,u  ,t@,&I,e,t,h,u,"&o,i","t,c","t,e&"
e,,A*,v,l&, h ,a,e*,,e@,k,t,j,d,@t,,#u,"o,j","t,u",
e,m&,a,t&,l#,@p,#c,q,*d,E,m&,*t,j&,d,,,u,"*o,e","t,c@",
e, T ,a@,*t,o&,d,?&,q,,*e,m,t  #,i*,d,*t,,u,"c,i*","&t,u","t,e"
p,&c,*d,,*l,F*,?,,a,e,&K,t@,j,&h,t*,#j,u,"O,I","u,c","&T,E"
p,M,d,&t,L,f,a,#q,u  ,e,k, t ,j,#V,t,j,@U,"c,j","#t,u","i,e"
p,d,d,V,,#f,?*,e*,a&,E,u#,T,,,,&j,u,"*o,j","t,c  ","t,e"
e,d,,,l,*h,a,,#d,,*k,,#J,d#,u*,e,u,,,"d,o"
p,C&,d*,v,@l,*f,?,#i,A*,E,#w,t,j,e,t,J*,U,"O,J@","T,C",
p,C,D,&v,,f&,?,,a*,e,,T*,i,e,t,&j,u,"o,j*","u,c","t,e"
p,#m,a&,v,@l,f,a*,,u*,e,n,t,,e,,j*,,"o,e  ","t,u&","b,o*"
e,#t,a,*v,l,j,*v,,d#,e,m,,j,*w,&t,H&,u@,"c,j","t,u","i,o*"
e,m@,a,#t,O,@d,?,Q,m@,e#,m,,I,d,t@,@E,u&," C,J ","#t,u","t,e*"
p,,a,v,l#,f&,a,q,m,e,k#,t@,i,#e,,e@,,"@c,i","a,w","@b,e"
p,d&,d@,v@,l,f,c#,q,D@,*e  ,M,*t,j#,u,,j*,u#,"C,J",,
e,c,#a,v&,,h,a,q,u,e@,,t,j,d,,e&,u,"o,j#","m,u@","D,O"
p,c&,D&,v,l, f ,?#,,a,e@,*U,,j,h,u,,,"o,j  ","u,c&","@t,e"
p,,a*,@V,l&,f,a,@e,@b,e*,k&,t,*i,e,d,,u,"c,i","#u,w","b,e  "
p,#t,a,,l#,f&,*a,*q,u&,E,#m,t,j,e,t@,j*,@u,,"t,u","b,o"
e,,a,v,l@,@f,a@,Q,t,e@,k@,t,*j,d,t@,h#,*u,"O,J","m,u&","d,o"
p,m,,v,l,*h,a#,e&,b,#E,,t,,e#,a,e@,&u,"C,I","u,w","b,e"
p,m,a&,V,#l  ,h,#a,@e,B,e*,*m,t@,,@e,&d,e,& u ,,"d,w","#b,e"
p,c,d,v,l*,&f,?*,i&,a,e,k,,@ i ,j,t,*h,u,"o,i","u,c@","T,E"
e,h,d,,,,a#,e  ,,E,k#,*T,@ j ,p@,,&e,@U,"O,J","t,u","n,o"
p,t,d,v,l,&F,C,&q,u,e,&m,t,@j,u,&t,j,&u,"c,j",,"i,o&"
e,&m,*A,,l,@j  ,c  *,q,,e,m#,t@,j  *,d,t, e ,&u,,"t,c@","D,E"
p,, d &,v,l,f#,?,q,a,e@,w,t  ,j,j,t,h*,u,"o,i@","u,c","*t,e"
e,d  ,*a,@t  ,l,&p,c,#q,,@E,M, t ,j@,d,#t,E,u,"*O,J","t,c","i,e"
e,@m,@a,t@,l*,j,c,q#,i@,&e,m,#t,& j ,d,T,J,U@,"#o,e","t,c*",
p,c#,d,@v,,f,?,q,a@,e,&K,#t,j&,h,#u,&j,,"o,j*","* u,c ","*t,e"
e,#M,a&,@v,*l,f,a,q,#U,e,k,T,J,&D,m&,*h,,"o,j","*t,u",
e,d,a,v,*l,f#,a&,E,d#,*e,k@,@t,j,d#,U#,e,u,"o,j&","u,u","@i,o"
e,,D&,t,l,F,A,e*,d,e,k#,t,,#w,,e#,u,"O,J",,"#d,o"
p,m,a,v,l&,f,a#,,b,&e,m,t,i,, u *,e,u&,"c,i","D,W","@ b,e "
p,m&,A,v,l,f,a*,*e,b@,E&,,t,i*,#e,u,e,,"c,i","@d,w","b,e"
e,#h,a  ,V,l,j,v&,#q,d,e,m,#t,J*,p,,&h,@u,"&c,j","t,u","@d,o"
e,D,a*,@v,L,f,#?,E,*l,p,W@,l,,*d,l,j,u&,,"l,u&","D,E"
e,D,a,v,l,F,a,q,u#,e,k,#t,j@,,m*,*H,&U,"&O,J","u,u","d,o"
e,c,a,v#,o#,*v,?,&q,c&,e#,*t,t,&j,*D,t@,#h,u,"c,j&","c,c","t,o"
e,D,a,v@,l,F&,@a,q,d,e,k,*T,J#,D&,,h&,u,"#o,j","*u,u",
e,t, a @,v&,l*,j,v,q,d#,@E,y,,j,p,T,@h,u  ,"&c,j","#t,u",
p,u*, a ,*v,#o,f,a,,z,e,,*t,@j,d,t,,U,"c,j","t,u","Z,O"
p,h,@a,v,l,H,a#,q#,m,,&m,T&, i ,e,u,E, u #,"c,i",,"b,e"
e,#h,,,#l,d@,*v,q*,,,m*,&t,#j,,t,@J,&u,"@c,j","t,u&","d,o"
p,,&a,#v,l,h,a,e,&u,,k#,T,&i,e,a,h,u@,"C,I&","u,w","b,e"
e,c@,a*,v,@l,F,@A,*q,D&,@e,#K,& T ,j*,,m*,E&,@u,"o,j#"," t,u ","d,o&"
e,h,,v,l,#j,z,@ q ,u@,e,u,*t,h#,w&,t*,H,u&,"C,J","t,u","&i,o"
e,&t,A,#v,L,&j,v,@q,t*,e@,Y,t,j,p,t@,J,,"c,j","&t,u","D,O&"
p,#m,,,l*,&f,a,,,,k,&t,*i,&e,a@,,u,"@c,i","*d,w",
p,d&,d,*v,l*,f,&?,q*,a,e@,k,t,*j,E,u,#j,u,"@O,J","*t,c","t,e@"
e,t,a,t,l,,,q,i,e*,&m,T,#e  ,D,t,e,*u,"@o,j","#t,c","d,e"
p,c@,d,v,l*,f,?,,*a,e#,@k,t,j,h,u,h,u*,"o,i","t,c","T,E"
p,,@D,*V,l,f  ,#?,&I, a ,@e,u,#t,#j  ,h,@t,h#,*u,"#o,i","T,C  &","t,e"
p,d,d#,#v,*l,f&,?*,i,a,e#, k &,T,J,j,,h,U#,"o,i","t,c","T,E"
p,d,d@,v,,J,c@,q,t*,#e,M,t,@j,u#,t*,j  ,#u,"@c,j","t,u","i,o"
e,m,a#,v,&l,*h,a,q,,e,k,t&,#j,@d,&u,e,U*,"O,J&","m,u@","d,o"
e,m,&a,@v,&l,#h  ,,q,#u,e,k,,,d,m#,e*,#u,"&o,j  ","M,U","i,o@"
p,M,a&,v,l@,@ h ,,Q*,m,#e,u,#T,I,e, d ,e  @,u*,"c,i&","U,W#","b,e"
p,d#,d,v#,l,f*,?,I*,@a,e,U*,&T,j*,h,u#,h,@u,"o,i",,"T,E"
e,D#,,#v,,@f,@a,e,u,@e,k&,t,*J  ,d,u&,@h,U,"o,j",,"#d,o"
e,d,A#,v*,,,?,,d,p,w&,&l,*J,,,j,u,,"l,u","a,e  "
p,u,a,v,@o,&F,a,a,&z,e,y@,t,j@,d,t*,j#,U,"@c,j","t,u&","*z,o"
e,m,a,t&,L@,@p,c,&Q,d,e&,m,t,*e  ,d*,t,e,u,"#o,e","t,c","d,e"
e,d,&a,V,l,f*,?*,A,d,P,w&,d,j*,#d,l,*j,u,"&c,j","L,U#","d,e"
p,d,,v,L,f&,?,e#,a,e,k@,T,&i,,,j,&U,"@o,j","u,c","#t,e"
p,,,,l*,f,#?,q#,a,#e,w,t,#i,h,U,H,u*,,"t,c@","t,e"
e,m,a&,v,l,h#,a,e#,,#e,k,*t,j&,d@,u#,H,u,"&o,j","m,u&","i,o"
p,c, d ,v  ,l,f, ? ,@i,a,E,w,&t,j#,h,,J,U,"o,i","t,c","#t,e  "
e,m,a,*v,l@,#h,a,e,u,&e,k,t,&j,d  &,t,h,u,"o,j","u,u","i,o"
e,h,#a,v,l  @,&d,@v,,m,e@,m,t#,j,@w,t,&h,u@,"c,j","t,u*","d,o"
p,d,d@,v,L,F@,?&,e,#a,E&,*w,&t,i,h,t*,J,u&,,"u,c","t,e&"
p,h,#a,#v,@l,H,a,e,m,@e,m@,t*,i&,#e,,e,@u,"C,I","u,w*","*b,e"
e,,a@,v,l*,@h,#a,*q,u,e,&k,*t,j,d*,m#,h,u,"*o,j","&u,u","d,o"
